"RiskLevel","AppName","AppId","RiskyPermissions","ConsentType","AllScopes"
"CRITICAL","Contoso PDF Converter","fb666433-6aa7-4882-b00b-50e637d42009","Files.ReadWrite.All, Mail.Read, User.Read.All","AllPrincipals","Files.ReadWrite.All Mail.Read User.Read User.Read.All"
"MEDIUM","Microsoft Graph Command Line Tools","14d82eec-204b-4c2f-b7e8-296a70dab67e","User.ReadWrite.All","AllPrincipals"," User.ReadWrite.All openid profile offline_access"
"HIGH","SharePoint Online Web Client Extensibility","08e18876-6177-487e-b8b5-cf950c1e598c","Files.Read.All, Files.ReadWrite.All","AllPrincipals","AppCatalog.Read.All AppCatalog.Submit Channel.ReadBasic.All EduAssignments.ReadBasic EduRoster.ReadBasic Files.Read.All Files.ReadWrite.All Group.Read.All People.Read People.Read.All Presence.Read.All User.Read User.ReadBasic.All Tasks.ReadWrite TeamsAppInstallation.ReadWriteForTeam TeamsAppInstallation.ReadWriteSelfForTeam Group-Conversation.ReadWrite.All Team.ReadBasic.All TeamsTab.Create Channel.Create Sites.Read.All PrinterShare.ReadBasic.All PrintJob.Create PrintJob.ReadBasic FileStorageContainer.Selected Group-Conversation.ReadWrite.All ChatMember.Read GroupMember.Read.All Files.Read Calendars.Read InformationProtectionPolicy.Read SensitivityLabel.Read"
"MEDIUM","SharePoint Online Web Client Extensibility","08e18876-6177-487e-b8b5-cf950c1e598c","Files.ReadWrite.All","AllPrincipals","Files.ReadWrite.All TermStore.ReadWrite.All Sites.ReadWrite.All Sites.FullControl.All M365BillingPlatform.Read.All"
